,"Repas reg LI : 4,5$","Repas large LI : 5,25$",Total repas low income,"Repas reg, RE : 6$",Repas large RE : 7$,Total repas reg,Total repas,Extra,% repas LI,% repas Reg,Nombre de repas dans le mois,Revenu,Nb clients prix low income,Nb de clients régulier,Total clients,Nb clients ongoing,Nb clients episodic,,
Mai,839,90,929,1356,73,1429,2785,,39.40%,60.60%,2358,"$12,973",54,86,140,,,,
Juin,831,114,945,1286,62,1348,2634,,41.21%,58.79%,2293,"$12,544",54,82,136,,,,
Juillet,841,103,944,1235,52,1287,2522,,42.31%,57.69%,2231,"$12,129",51,79,130,,,,
Août,819,113,932,1346,65,1411,2757,,39.78%,60.22%,2343,"$12,841",48,86,134,,,,
Septembre,828,107,935,1401,70,1471,2872,,38.86%,61.14%,2406,"$13,220",48,80,128,,,,
Octobre,832,88,920,1339,59,1398,2737,,39.69%,60.31%,2318,"$12,696",49,77,126,,,,
Novembre,745,109,854,1262,44,1306,2568,,39.54%,60.46%,2160,"$11,831",48,74,122,,,,
Décembre,784,110,894,1240,42,1282,2522,,41.08%,58.92%,2176,"$11,879",48,70,118,,,,
Total année,9830,1166,10996,15804,715,16519,27515,,39.98%,60.02%,27515,"$151,069",52,82,134,,,,
Total juilllet,5822,639,,9216,435,,9216,,,,16112,,,,,,,,
Pourcentage,35.73%,4.24%,39.96%,57.44%,2.60%,60.04%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,Moyenne repas reg LI,Moyenne repas large LI,Moyenne repas LI,"moyenne repas reg, reg","moyenne repas large, reg",moyenne repas reg,,,,,,,,,,,,
,2022,37.78%,3.62%,41.08%,57.60%,1.31%,58.92%,,,,,,,,,,,,
,2021,39.66%,3.62%,43.28%,55.03%,1.69%,56.72%,,,,,,,,,,,,
,2020,35.73%,4.24%,39.96%,57.44%,2.60%,60.04%,,,,,,,,,,,,
